Company,Country,Continent,Laid_Off,Percentage,Industry,Stage,Year,Company_Size_before_Layoffs
Workmotion,Germany,Europe,60,20,HR,Series B,2022,300
Tomorrow,Germany,Europe,30,25,Finance,Unknown,2022,120
Back Market,France,Europe,93,13,Retail,Series E,2022,715
Minute Media,UK,Europe,50,10,Media,Series I,2023,500
Blockchain.com,UK,Europe,110,28,Crypto,Series D,2023,393
Britishvolt,UK,Europe,206,100,Transportation,Unknown,2023,206
Clue,Germany,Europe,31,31,Healthcare,Unknown,2023,100
Sophos,UK,Europe,450,10,Security,Acquired,2023,4500
Spotify,Sweden,Europe,600,6,Media,Post-IPO,2023,10000
Gitpod,Germany,Europe,21,28,Product,Series A,2023,75
Luno,UK,Europe,330,35,Crypto,Acquired,2023,943
Tier Mobility,Germany,Europe,80,7,Transportation,Series D,2023,1143
Glisser,UK,Europe,25,100,Travel,Unknown,2023,25
SAP,Germany,Europe,3000,3,Other,Post-IPO,2023,100000
Arrival,UK,Europe,800,50,Transportation,Post-IPO,2023,1600
Chrono24,Germany,Europe,65,13,Retail,Series C,2023,500
Delivery Hero,Germany,Europe,156,4,Food,Post-IPO,2023,3900
Glovo,Spain,Europe,250,6,Food,Acquired,2023,4167
Software AG,Germany,Europe,200,4,Data,Post-IPO,2023,5000
LearnUpon,Ireland,Europe,27,9,Education,Private Equity,2023,300
Deliveroo,UK,Europe,350,9,Food,Post-IPO,2023,3889
Veriff,Estonia,Europe,66,12,Security,Series C,2023,550
Dropp,Germany,Europe,60,100,Retail,Unknown,2023,60
OneFootball,Germany,Europe,150,32,Marketing,Series D,2023,469
Ericsson,Sweden,Europe,8500,8,Other,Post-IPO,2023,106250
PayFit,France,Europe,200,20,HR,Series E,2023,1000
Workhuman,Ireland,Europe,130,10,HR,Unknown,2023,1300
Wejo,UK,Europe,40,16,Transportation,Post-IPO,2023,250
Slite,France,Europe,10,25,Other,Series A,2023,40
Domestika,Spain,Europe,89,45,Education,Series D,2023,198
